engineer,prs_opened,prs_closed,pr_comments,prs_merged,issues_opened,issues_closed,prs_merged_norm,prs_closed_norm,issues_closed_norm,prs_opened_norm,issues_opened_norm,pr_comments_norm,impact_score,rank
charlesvien,5.0,7.0,23.0,4.0,0.0,0.0,0.021739130434782608,0.03255813953488372,0.0,0.020833333333333332,0.0,0.02446808510638298,0.018,117
ioannisj,3.0,2.0,12.0,2.0,2.0,1.0,0.010869565217391304,0.009302325581395349,0.030303030303030304,0.0125,0.044444444444444446,0.01276595744680851,0.0172,118
phillram,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.030303030303030304,0.004166666666666667,0.1111111111111111,0.0,0.0161,119
MichaelKutsch-ph,4.0,4.0,21.0,4.0,0.0,0.0,0.021739130434782608,0.018604651162790697,0.0,0.016666666666666666,0.0,0.022340425531914895,0.0154,120
clickhouse-sync-posthog[bot],5.0,5.0,1.0,4.0,0.0,0.0,0.021739130434782608,0.023255813953488372,0.0,0.020833333333333332,0.0,0.0010638297872340426,0.0154,121
tests-posthog[bot],5.0,4.0,3.0,4.0,0.0,0.0,0.021739130434782608,0.018604651162790697,0.0,0.020833333333333332,0.0,0.0031914893617021275,0.0148,122
annikaschmid,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0136,123
jeremylongshore,7.0,7.0,17.0,2.0,0.0,0.0,0.010869565217391304,0.03255813953488372,0.0,0.029166666666666667,0.0,0.018085106382978722,0.0136,124
simfish85,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0136,125
mike-lawrence-business,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.06060606060606061,0.0,0.044444444444444446,0.0,0.0135,126
sayer122,1.0,1.0,1.0,1.0,2.0,1.0,0.005434782608695652,0.004651162790697674,0.030303030303030304,0.004166666666666667,0.044444444444444446,0.0010638297872340426,0.0126,127
ja-me-sk,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.004651162790697674,0.0,0.004166666666666667,0.1111111111111111,0.00425531914893617,0.0124,128
Copilot,6.0,6.0,13.0,2.0,0.0,0.0,0.010869565217391304,0.027906976744186046,0.0,0.025,0.0,0.013829787234042552,0.0123,129
joesaunderson,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.06060606060606061,0.0,0.022222222222222223,0.0,0.0113,130
mcoll-posthog,3.0,5.0,32.0,2.0,0.0,0.0,0.010869565217391304,0.023255813953488372,0.0,0.0125,0.0,0.03404255319148936,0.0113,131
camerondeleone,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.004651162790697674,0.030303030303030304,0.004166666666666667,0.044444444444444446,0.002127659574468085,0.0102,132
mircoboettcher,4.0,4.0,14.0,2.0,0.0,0.0,0.010869565217391304,0.018604651162790697,0.0,0.016666666666666666,0.0,0.014893617021276596,0.0101,133
naaa760,2.0,9.0,43.0,0.0,0.0,0.0,0.0,0.04186046511627907,0.0,0.008333333333333333,0.0,0.045744680851063826,0.0094,134
Sriram-bk,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0091,135
evan-mavis,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.044444444444444446,0.0,0.009,136
rayudu-drivex,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.030303030303030304,0.0,0.044444444444444446,0.0,0.009,137
